shop_id,shop_name,nkreview_source,nkreview_nick,nkreview_reg_date,nkreview_content
3,가벼운 오늘,네이버맵,yogom,2022-04-08,와~~! 예쁜쿠키도 선물로 받고 무지 행복합니다?? 커피도 여전히 맛있어요. 오늘은 섬유유연제 리필해서 든든했어요. 좋은공간 감사합니다??
3,가벼운 오늘,네이버맵,un****,2022-04-21,음료랑 디저트 모두 너무 맛있어요~!! 금귤에이드는 금귤까지 싹싹 다먹었어요~~>_<ㅋ
3,가벼운 오늘,네이버맵,tjek,2022-04-22,퇴근하다가 집 근처에서 본 비건디저트카페예요! 디저트와 더불어 여러 소품들도 판매하는 곳이였더라구요?? 포장해와서 먹었는데 너무 맛있더라구요! 다음에는 매장에서 음료와 함께 먹어보려구요! 사장님 번창하세요????
3,가벼운 오늘,네이버맵,the****,2022-01-12,호지차라떼 굿
3,가벼운 오늘,네이버맵,SoyoungSong,2022-06-09,몸과 마음이 가벼운 비건 디저트와 친환경 제품을 둘러볼수 있는 샵이에요??
3,가벼운 오늘,네이버맵,mye****,2021-12-25,음료가 맛있었어요 ! 제로웨이스트 제품도 친절하게 설명해주셔서 좋았습니다 :)
3,가벼운 오늘,네이버맵,LGY20,2021-11-27,가게가 아기자기하고 사장님이 친절해요! 제로웨이스트 실천 가능한 제품들이 있어서 소소한 몇가지 구매해 봤어요!
3,가벼운 오늘,네이버맵,freesia0624,2022-01-13,비건빵을 찾아 먹는편이라 새로 오픈한 가벼운오늘도다녀왔어요! 다 맛있었지만 best 꼽자면 얼그레이마들렌!!??달지않고 맛있게 먹었어요! 사장님도 친절하시고 다음에 또 가고싶네요??
3,가벼운 오늘,네이버맵,Dokgo99,2022-01-22,음료랑 디저트가 다른 곳보다 저렴하고 맛있었어요
3,가벼운 오늘,네이버맵,0o0141,2022-01-18,사장님이 친절히 설명해주셔서 좋았음
5,가치쓰제이,네이버맵,유스티나64,2022-02-07,빌려쓰는 지구를 위해 불편함을 선택 했는데 밀양에 함께 나눌수있는 곳이 생겨 기분 좋은 쇼핑이 되었어요~~  점차 품목을 늘려 갈꺼라 하시니  종종 들려야겠어요^^
5,가치쓰제이,네이버맵,bol****,2022-02-07,??
6,감탄상회,네이버맵,포이에마,2022-07-14,좋아요 ??
6,감탄상회,네이버맵,우주인74,2022-05-29,집 근처에 드뎌 맛잇는 카페 생김.제로웨이스트 솝도 같이 운영하는곳. 다음엔 물건도 사봐야지
6,감탄상회,네이버맵,썬앤문35,2022-06-12,친절해요 ~
6,감탄상회,네이버맵,썬앤문35,2022-06-12,탄소제로를 위한 매장입니다
6,감탄상회,네이버맵,새우아기,2022-10-22,뜻깊은 곳에 아이들과 함께 와서 좋아요~
6,감탄상회,네이버맵,단비22,2022-08-18,"까페인데 친환경 제품을 같이 팔아요!라텍스 고무장갑이랑 무불소치약, 삼베 마스크등.... 사고싶은게 많아요!!"
6,감탄상회,네이버맵,김사계,2022-06-21,라떼 맛있어용 분위기 좋네요 이것저것 친환경 제품이 많이 진열되어있어서 볼만하겠어요 저는 추워서 밖에 있어봤는데 인조잔디 깔려있어서 뭔가 피크닉 온 기분이라 좋네요
6,감탄상회,네이버맵,김사계,2022-08-18,맛있는데 디저트가 좀 더 일찍 나오면 좋겠습니다!
6,감탄상회,네이버맵,고든이정화,2022-06-06,좋아요
6,감탄상회,네이버맵,sno****,2022-07-26,"빙수 15분기다렸는데, 한입먹는순간 용서되는 맛이었어요. 떡도 큼지막해서 좋구요. 팥이랑 연유랑 우유빙수 조합이 좋습니다~"
6,감탄상회,네이버맵,ROSA80,2022-10-07,"친환경 제품도 퀄리티도 좋고, 리필스테이션도 대만족 입니다 바닐라라떼와 샌드위치 너무 맛있어요 조용하고 분위기 좋습니다  특히 화장실이 너무 깨끗해요 10시 오픈이에요"
6,감탄상회,네이버맵,ROSA80,2022-06-10,"분위기도 좋고 친환경 제품도 종류도많고, 세제 리필도 해갔는데 고퀄리티더라고요레몬에이드랑 아아, 라떼 맛있어요~~"
6,감탄상회,네이버맵,ROSA80,2022-06-10,샌드위치 가성비 좋아요. 맛있고 신선해요 커피도 고급원두라자주 방문하게되네요
6,감탄상회,네이버맵,ROSA80,2022-07-15,"친환경 제품도 구입하고, 생과일 토마토주스도 맛있어요~"
6,감탄상회,네이버맵,LSH1352,2022-07-18,친절하세요
6,감탄상회,네이버맵,LaHong,2022-08-27,친환경 물건 많이 팔아요
6,감탄상회,네이버맵,la10048381,2022-10-07,굿
6,감탄상회,네이버맵,la10048381,2022-09-02,굿
6,감탄상회,네이버맵,jh9****,2022-09-30,굳
6,감탄상회,네이버맵,hyu****,2022-06-17,환경을 생각하는 착한가게가 생겼네요^^ 아이들한테 견과류 먹이기 힘든데 이렇게 먹으니 잘 먹네요~^^ 세제스테이션도 집근처에 가까이 생겨서 좋구요~지금 세일하는것같아요~ 음료는 아이들이랑 레몬에이드 마셨는데 레몬슬라이스 듬뿍 넣어주시고~ㅎㅎ 맛있게 잘마셨어요~^^
6,감탄상회,네이버맵,hap****,2022-10-07,커피 맛있습니다. 천연제품 구경하고 저렴하게 구입할 수 있어 좋아요^^ 조용하니 이야기 나누기도 좋습니다.
7,곁애,카카오맵,홍선주,2020-11-06,일회용품 없는 카페. 저의 최애는 바닐라라떼입니다!! 스벅 부럽지 않아요!
7,곁애,카카오맵,배한경,2021-09-12,좋은  공간이어요
7,곁애,카카오맵,Jinny,2019-06-25,일회용품없는카페 아기자기한 아이템 맛있는 차와 커피 텀블러할인에 아름다운공간 꽉찬개념꼭가봐야할곳! 강추입니다
7,곁애,카카오맵,J,2021-10-04,제가 정말 좋아하는 카페였는데 문을 닫았다고합니다ㅠㅠ 참고하세요
8,고요거트,네이버맵,디용씨,2022-04-27,그릭요거트 먹어보고싶었는데 마침 오픈해서 처음 사먹어봤는데 너무 맛있어요!! 블루베리랑 바질토마토 인절미 구매했는데 맛도 다 특색있고 토핑 추가해서 먹어도 맛있고 그냥 먹어도 맛있어요 ㅠㅠ 바질토마토는 베이글에 발라먹으면 너무 맛있을거같은.... 많이 달거나 자극적인맛 싫어하는데 정말 딱이였어요!! 좀 많이먹어도 뒷맛이 깔끔해서 좋네요 ㅎㅎㅎ
8,고요거트,네이버맵,woo****,2022-09-23,맛있어요~~~~~
8,고요거트,네이버맵,lov****,2022-04-15,맛있어요~ 꾸덕꾸덕
8,고요거트,네이버맵,kan****,2022-04-30,굿
8,고요거트,네이버맵,HongJH0831,2022-05-10,요거트요거트~ 맛있어요!!??
10,공기,네이버맵,햄뽀뿌,2022-03-21,암사역 근처 제로웨이스트샵 작은 플라스틱 병뚜껑이나 종이팩 등 수거도 여러가지 하고 판매 품목도 다양하고 좋아요
10,공기,네이버맵,한건,2021-11-26,"가까운데에 있어서 너무 감사하구요, 이것저것 많이 알려주시고 친절하세요:-) 다음엔 다른 것들도 도전해볼까봐요"
10,공기,네이버맵,한건,2021-08-06,"제로웨이스트로 살아가기 위해 방문했어요. 여러 샴푸바, 바디밤에 세제들도 있어서 좋아요"
10,공기,네이버맵,투보이맘28,2021-11-03,자주 이용하려고요
10,공기,네이버맵,쵸리0110hs,2022-10-14,제로웨이스트숍! 세제리필존부터 여러 제품들이 많아요! 작두콩차도 소분해서 팝니다!
10,공기,네이버맵,우서16,2021-03-16,이제 화장품 공병도 받으시네요. 완충제 수거 등 넘 감사한 곳...오래 오래 흥하세요.
10,공기,네이버맵,스마일197,2022-04-29,좋아요
10,공기,네이버맵,소영진우맘,2020-11-19,제로웨이스트 추천합니다
10,공기,네이버맵,보링27,2020-09-09,너무 좋아요. 지구를 위한 마음. 공병. 뽁뽁이. 아이스팩도 받아주시고 마일리지로 적립까지. #친환경#강동구암사동#지구를위한마음
10,공기,네이버맵,김중,2021-08-06,좋아요 설명 잘해주세요 2층
10,공기,네이버맵,귀바지,2021-04-16,요즘 같은 시대에 가장 필요한 곳.늘 감사하며 이용해요. :)초석이 되어 오래 함께 해주세요!
10,공기,카카오맵,ㅇㅅㅇ,2020-11-23,친절하시고 여러가지 제품도 많아서 너무 좋아요! 에탄올 무료나눔도 있어서 받아와 유용하게 사용중입니다! 감사해요!
10,공기,네이버맵,twe****,2022-06-28,제로웨이스트샵이 많지않은데 멀지않은곳에있네요. 제품이 다양하진않지만 알짜배기 상품들로만 채워져있어요. 매장도 아기자기 이뻐요. 좋은뜻을 가지신분들이 번창하셔야합니다. 자주갈께요~~
10,공기,카카오맵,suntackz,2021-11-05,"<지구라도 구할지도-제로웨이스트샵/수거(우유팩)>대안생활<공기>는 자연과 우리의 일상을 생각하는 제로웨이스트샵입니다. 비움의 습관을 통해 자연을 배려합니다.-우유팩 수거-*수거대상: 한살림 및 일반 우유갑, 멸균팩-자세한 내용은suntackz.com 참조"
10,공기,네이버맵,diamon,2021-02-24,좋아요
10,공기,네이버맵,dba****,2021-07-10,제로웨이스트샵 첫 방문입니다! 동네에 제로웨이스트샵이 있어 너무 좋아요!
10,공기,네이버맵,apple9029,2021-12-03,좋아요
11,공방 꽃피는삼월에,네이버맵,흑임자16,2022-01-20,친절하세요
11,공방 꽃피는삼월에,네이버맵,하늘3195,2022-10-12,지구를 위해! 제로웨이스트 매장이 있어서 좋아요!
11,공방 꽃피는삼월에,네이버맵,티라미옥수수,2022-10-05,로션 리필은 사랑입니다. 번창하세요!! 리필 스테이션 최고!!
